Seq,RAdeg,DEdeg,Fprob,Pany,Deep,D20,FFlux_bay,HFlux_bay,SFlux_bay,Source_Name_1,RA_1,DEC_1,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,S_Code,FLAG_DEEP,flag_clean,Z_BEST,Z_BEST_SOURCE,Z_SPEC,Z_SOURCE,Z_QUAL,Cat,SFR_cons,Radio_excess,RadioAGN_final
2350,218.0513754,34.1139457,2.7274E-40,0.972552,1,987771,1.899017751761554E-14,1.8175540600612525E-14,4.046427089445589E-15,ILTJ143212.32+340650.2,218.05131834307352,34.11394730733955,4.245116977405941E-4,6.120683347551359E-5,4.260074926177466E-4,3.532072166338503E-5,S,1,1,0.9335,0.0,,,,Bootes,0.75,1.14,1
2351,217.5132449,34.1143299,1.5921E-39,0.994823,1,987945,1.6578362592933102E-14,2.5266318598436704E-14,9.7573174419817E-16,ILTJ143003.13+340650.9,217.51303686272024,34.11415077552608,0.005451306289819285,8.003330615936802E-5,0.005646872275192746,3.7800050326040946E-5,M,1,1,0.1261261,1.0,0.1261261,3,4,Bootes,-0.55,1.69,1
2354,217.4120017,34.1160008,1.2474E-69,0.997365,1,989019,3.8432017611000864E-14,1.8959873870277298E-14,1.5376668278494854E-14,ILTJ142938.85+340657.1,217.4118551451052,34.11586724309237,4.720173796129463E-4,7.929947051135613E-5,4.1103883336339925E-4,4.153853863439755E-5,S,1,1,0.39,1.0,0.39,1,3,Bootes,0.96,0.08,0
2364,218.2107321,34.1222128,0.0,0.999524,1,993246,7.468111662941191E-14,7.754314509374544E-14,1.570843629820319E-14,ILTJ143250.56+340720.1,218.21068737570366,34.122258790026585,0.0010108641003741738,7.117526634143042E-5,9.447109405871869E-4,3.925582554323285E-5,S,1,1,0.4930428,1.0,0.4930428,3,4,Bootes,-99.0,-99.0,-1
2365,217.9790786,34.1232315,1.5264E-20,0.982489,1,993959,1.617199921509882E-14,-1.116719360934259E-15,7.314758638032705E-15,ILTJ143154.85+340724.0,217.97855302594365,34.12335116342671,1.9034736242650607E-4,5.7466175156487684E-5,2.1435737562289824E-4,3.451254172618536E-5,S,1,1,1.583,1.0,1.583,1,3,Bootes,1.48,0.53,0
2376,218.6149983,34.1282293,5.462E-93,0.905558,1,997114,5.472081377525718E-14,5.277646704221505E-14,1.2816698751104529E-14,ILTJ143427.57+340741.4,218.61488508126536,34.12816931662488,0.0025509589164936877,1.2920228035623806E-4,0.0020610324104661827,3.927695532183861E-5,M,1,1,0.1903888,1.0,0.1903888,3,4,Bootes,-0.13,1.3,1
2378,217.505862,34.1336686,1.171E-11,0.989316,1,1000836,5.491006110687092E-15,2.3764090644223283E-15,1.685536298047208E-15,ILTJ143001.30+340800.3,217.50540036699826,34.133437234289715,3.326790718209829E-4,7.131673103551106E-5,2.9159898065454304E-4,3.722302765526759E-5,S,1,1,0.367,1.0,0.367,1,3,Bootes,0.97,-0.14,0
2380,217.7239281,34.1344755,9.2768E-54,0.973936,1,1001601,2.603832595691011E-14,1.5060098573987336E-14,9.416466611850587E-15,ILTJ143053.68+340805.3,217.7236603509201,34.13482414069289,7.34139285583975E-4,1.5583962471915814E-4,2.2306445284843652E-4,3.708872374123808E-5,S,1,1,1.122,1.0,1.122,1,3,Bootes,1.63,0.61,0
2387,218.6017915,34.136165,1.6639E-36,0.99356,1,1002466,2.2291408940033303E-14,1.5163025924760614E-14,7.187906292085657E-15,ILTJ143424.33+340810.1,218.60136564541583,34.136147675928484,2.2152675973615918E-4,6.830997135382749E-5,2.177537975465977E-4,3.685276639131697E-5,M,1,1,2.721823,1.0,2.721823,2,4,Bootes,2.38,0.15,0
2389,218.2607827,34.1381028,3.0515E-7,0.992992,0,1004054,2.594317328334287E-15,-4.148913142948838E-16,1.3879591659004006E-15,ILTJ143302.56+340817.9,218.26068587126056,34.13832620686517,6.515636639369575E-4,1.0659837972492204E-4,4.8421234925624706E-4,3.679074576575658E-5,M,1,1,0.443,1.0,0.443,1,3,Bootes,1.3,-0.02,0
2392,217.8935875,34.1414571,2.6878E-59,0.998215,1,1006100,2.2792544799141504E-14,1.3046020612115561E-14,8.207711418681011E-15,ILTJ143134.49+340829.2,217.8936969684549,34.14145584603,2.5515967842016073E-4,6.863584219542628E-5,2.2259405306022692E-4,3.575027239912109E-5,S,1,1,1.628,1.0,1.628,1,3,Bootes,1.78,0.36,0
2397,219.0059282,34.1361462,1.6879E-13,0.993296,1,1002460,9.200286951475378E-15,2.9609804224887774E-15,3.565941996489919E-15,ILTJ143601.33+340810.0,219.00554278831848,34.13613525756472,5.881360258897933E-4,6.514484574245834E-5,6.08425855524496E-4,3.8298949757421775E-5,S,1,1,0.9786,0.0,,,,Bootes,1.93,0.05,0
2401,219.5346626,34.1314064,4.0125E-24,0.867071,1,999422,5.214233906101373E-14,2.0521393871769785E-14,1.8397244291422908E-14,ILTJ143808.10+340753.2,219.53375055416214,34.13146062468441,0.002515871390027694,1.28013343118943E-4,0.0025516419147555043,7.454142383438393E-5,S,1,1,1.871,1.0,1.871,1,3,Bootes,2.22,1.01,1
2410,218.7430814,34.1437423,3.5976E-98,0.995209,1,1007567,2.1014606390291414E-14,1.4009193750434006E-14,6.9664719811143025E-15,ILTJ143458.33+340836.8,218.7430244924154,34.143571996473135,6.123572808065147E-4,7.000805701918302E-5,6.229659551323789E-4,4.0743984970468834E-5,S,1,1,1.162,1.0,1.162,1,3,Bootes,2.01,0.15,0
2416,216.8111071,34.1463143,1.8124E-35,0.99631,0,1009371,1.5288939033681835E-14,8.420596872106472E-15,6.150295431123431E-15,ILTJ142714.57+340846.8,216.810725413666,34.14633941149678,1.6981981204562463E-4,5.7528724945418076E-5,2.114432228022092E-4,3.55792527661698E-5,S,1,1,2.4878,0.0,,,,Bootes,2.0,0.36,0
2417,217.7424589,34.1518834,3.3307E-10,0.991602,1,1013224,5.3163453459951186E-15,1.4912572518337936E-15,1.6202178230568184E-15,ILTJ143058.23+340905.9,217.74260794681538,34.15166004495352,4.832295905291373E-4,6.913317458649431E-5,4.344719701723246E-4,3.693693247950959E-5,S,1,1,0.959,1.0,0.959,1,3,Bootes,2.0,-0.13,0
2425,216.8098152,34.1505313,2.2633E-62,0.991743,0,1012236,2.1032555590502472E-14,1.706539399883076E-14,5.693721691390374E-15,ILTJ142714.29+340901.1,216.8095482061504,34.15030791871837,0.0011559013468652774,8.188577382304651E-5,9.87656952390209E-4,4.24634869717621E-5,S,1,1,1.2107,0.0,,,,Bootes,1.49,1.04,1
2433,218.7706255,34.1541589,1.2709E-8,0.8802,1,1014958,2.4983343508888953E-15,4.144014559778384E-15,-1.3964972965310597E-16,ILTJ143504.90+340915.0,218.77040247005203,34.15416971957179,2.047110733936482E-4,6.355099383786591E-5,2.181128057322128E-4,3.777011723004705E-5,S,1,1,1.6738,0.0,,,,Bootes,1.3,0.81,0
2435,217.6607626,34.1579294,4.1899E-16,0.930087,1,1017283,9.441905411628994E-15,1.2133129211093274E-14,1.213710249298109E-15,ILTJ143038.48+340928.8,217.66034103572358,34.158000788017915,0.0019778279205176336,5.9915871547962934E-5,0.0020431068735358936,3.5335894744236946E-5,S,1,1,1.1361,0.0,,,,Bootes,1.74,0.93,1
2441,218.4801676,34.1594321,1.0571E-41,0.889834,1,1018195,2.0745501668976204E-14,1.103162815904883E-14,7.921670428177857E-15,ILTJ143355.09+340933.3,218.47953587398106,34.159271142950686,0.01134147427750816,1.7123828722736718E-4,0.008197701710937236,4.3642722939694064E-5,M,1,1,1.674,1.0,1.674,1,3,Bootes,1.9,1.9,1
2447,216.7978659,34.1598296,1.356E-7,0.988264,0,1018510,3.040194207728573E-15,4.885226780214802E-15,-6.491478688588747E-17,ILTJ142711.36+340935.0,216.79733845013442,34.15973906358475,3.205019461682704E-4,7.881591279916771E-5,3.155960253894828E-4,4.4926629332315214E-5,S,1,1,1.2694,0.0,,,,Bootes,2.06,-0.09,0
2463,216.3512961,34.1596278,1.4821E-10,0.988653,0,1018608,1.2258745880682944E-14,1.0143107473836039E-14,2.26681971598554E-15,ILTJ142524.23+340935.9,216.3509719280429,34.15997426628002,0.015048442062765115,9.894942607745807E-5,0.014754963597429166,5.6356407556123785E-5,S,1,1,1.2061,0.0,,,,Bootes,1.57,2.06,1
2468,217.5102617,34.1701404,1.8405E-72,0.989187,1,1025417,2.0628429142024982E-14,9.536865703354354E-15,7.955098555399054E-15,ILTJ143002.41+341012.4,217.51004663043702,34.17013146062185,0.0015638423072046382,5.990592096993805E-5,0.0016482017070275203,3.580957011046139E-5,S,1,1,0.328,1.0,0.328,1,3,Bootes,1.47,-0.12,0
